Year	Month	Temp	Prec	Evap
2012	5	15.0	81.0	168.14
2012	6	19.0	62.1	234.92
2012	7	20.9	29.2	299.52
2012	8	19.7	80.1	232.13
2012	9	13.6	106.2	205.47
2012	10	9.2	42.2	101.9
2012	11	-1.0	11.0	48.91
2012	12	-4.7	45.1	21.69
2013	1	-9.3	31.8	21.27
2013	2	-7.8	4.0	22.88
2013	3	-1.5	3.4	31.62
2013	4	5.2	27.7	96.59
2013	5	14.1	69.2	175.98
2013	6	17.0	126.2	167.59
2013	7	20.4	55.2	286.84989338
2013	8	18.5	47.0	240.7090780673
2013	9	12.9	66.0	143.1567321895
2013	10	8.5	80.8	95.1994399932
2013	11	-0.4	45.4	41.9446150749
2013	12	-9.4	6.2	18.2434125619
